dt,comptime,Phe_Bid,Phe_Ask,Phe_bid_chng,Phe_ask_chng,phe_sig,Phediff,btc_price
02/19/2023 18:33:33,1676849613.0,202207000.0,274316000.0,0.0,0.13,SELL,26.29,24388.7
02/19/2023 18:33:33,1676849613.0,178988000.0,242173000.0,-0.13,-0.13,SELL,26.09,24388.7
02/19/2023 18:33:45,1676849625.0,124725000.0,304812000.0,-0.44,0.21,SELL,59.08,24394.8
02/19/2023 18:33:46,1676849626.0,110309000.0,305271000.0,-0.13,0.0,SELL,63.87,24400.0
02/19/2023 18:33:58,1676849638.0,54646000.0,217797000.0,-1.02,-0.4,SELL,74.91,24405.3
02/19/2023 18:33:59,1676849639.0,55323000.0,219192000.0,0.01,0.01,SELL,74.76,24405.3
02/19/2023 18:34:11,1676849651.0,218954000.0,246624000.0,0.75,0.11,SELL,11.22,24406.7
02/19/2023 18:34:13,1676849653.0,215911000.0,227147000.0,-0.01,-0.09,SELL,4.95,24406.7
02/19/2023 18:34:25,1676849665.0,172678000.0,265207000.0,-0.25,0.14,SELL,34.89,24396.6
02/19/2023 18:34:27,1676849667.0,203122000.0,265570000.0,0.15,0.0,SELL,23.51,24396.6
02/19/2023 18:34:40,1676849680.0,162349000.0,310706000.0,-0.25,0.15,SELL,47.75,24409.4
02/19/2023 18:34:46,1676849686.0,189979000.0,220938000.0,0.15,-0.41,SELL,14.01,24409.4
02/19/2023 18:34:53,1676849693.0,91493000.0,204062000.0,-1.08,-0.08,SELL,55.16,24418.8
02/19/2023 18:34:59,1676849699.0,89610000.0,318227000.0,-0.02,0.36,SELL,71.84,24424.1
02/19/2023 18:35:06,1676849706.0,171303000.0,342273000.0,0.48,0.07,SELL,49.95,24424.1
02/19/2023 18:35:21,1676849721.0,201471000.0,239346000.0,0.15,-0.43,SELL,15.82,24424.1
02/19/2023 18:35:34,1676849734.0,202517000.0,277926000.0,0.01,0.14,SELL,27.13,24428.9
02/19/2023 18:35:36,1676849736.0,198819000.0,259777000.0,-0.02,-0.07,SELL,23.47,24428.9
02/19/2023 18:35:47,1676849747.0,216857000.0,72328000.0,0.08,-2.59,BUY,66.65,24400.0
02/19/2023 18:35:49,1676849749.0,119035000.0,26594000.0,-0.82,-1.72,BUY,77.66,24400.0
02/19/2023 18:36:00,1676849760.0,125459000.0,258507000.0,0.05,0.9,SELL,51.47,24384.0
02/19/2023 18:36:02,1676849762.0,125709000.0,259199000.0,0.0,0.0,SELL,51.5,24384.0
02/19/2023 18:36:14,1676849774.0,62721000.0,149245000.0,-1.0,-0.74,SELL,57.97,24380.1
02/19/2023 18:36:16,1676849776.0,64359000.0,177112000.0,0.03,0.16,SELL,63.66,24380.1
02/19/2023 18:36:29,1676849789.0,101653000.0,199559000.0,0.37,0.11,SELL,49.06,24394.3
02/19/2023 18:36:34,1676849794.0,104341000.0,216136000.0,0.03,0.08,SELL,51.72,24394.3
02/19/2023 18:36:42,1676849802.0,121456000.0,236367000.0,0.14,0.09,SELL,48.62,24394.3
02/19/2023 18:36:46,1676849806.0,116281000.0,282118000.0,-0.04,0.16,SELL,58.78,24394.3
02/19/2023 18:36:55,1676849815.0,46381000.0,319721000.0,-1.51,0.12,SELL,85.49,24400.7
02/19/2023 18:36:59,1676849819.0,101048000.0,385345000.0,0.54,0.17,SELL,73.78,24400.7
02/19/2023 18:37:08,1676849828.0,105727000.0,358591000.0,0.04,-0.07,SELL,70.52,24406.3
02/19/2023 18:37:22,1676849842.0,141670000.0,266461000.0,0.25,-0.35,SELL,46.83,24406.3
02/19/2023 18:37:35,1676849855.0,139738000.0,241360000.0,-0.01,-0.1,SELL,42.1,24406.8
02/19/2023 18:37:37,1676849857.0,125845000.0,271382000.0,-0.11,0.11,SELL,53.63,24406.8
02/19/2023 18:37:48,1676849868.0,171833000.0,173402000.0,0.27,-0.57,SELL,0.9,24406.3
02/19/2023 18:37:50,1676849870.0,175107000.0,248800000.0,0.02,0.3,SELL,29.62,24396.9
02/19/2023 18:38:00,1676849880.0,35460000.0,208561000.0,-3.94,-0.19,SELL,83.0,24396.9
02/19/2023 18:38:02,1676849882.0,37164000.0,244401000.0,0.05,0.15,SELL,84.79,24391.7
02/19/2023 18:38:16,1676849896.0,116673000.0,137310000.0,0.68,-0.78,SELL,15.03,24396.5
02/19/2023 18:38:28,1676849908.0,101331000.0,193882000.0,-0.15,0.29,SELL,47.74,24397.9
02/19/2023 18:38:31,1676849911.0,101331000.0,193402000.0,0.0,-0.0,SELL,47.61,24397.9
02/19/2023 18:38:35,1676849915.0,60637000.0,193895000.0,-0.67,0.0,SELL,68.73,24397.9
02/19/2023 18:38:43,1676849923.0,48098000.0,193023000.0,-0.26,-0.0,SELL,75.08,24397.9
02/19/2023 18:38:48,1676849928.0,57283000.0,155287000.0,0.16,-0.24,SELL,63.11,24397.9
02/19/2023 18:38:56,1676849936.0,46357000.0,144573000.0,-0.24,-0.07,SELL,67.94,24397.9
02/19/2023 18:39:01,1676849941.0,115708000.0,183136000.0,0.6,0.21,SELL,36.82,24401.5
02/19/2023 18:39:08,1676849948.0,104298000.0,211210000.0,-0.11,0.13,SELL,50.62,24401.5
02/19/2023 18:39:22,1676849962.0,99047000.0,220395000.0,-0.05,0.04,SELL,55.06,24399.7
02/19/2023 18:39:22,1676849962.0,99047000.0,218651000.0,0.0,-0.01,SELL,54.7,24399.7
02/19/2023 18:39:36,1676849976.0,87023000.0,191187000.0,-0.14,-0.14,SELL,54.48,24402.8
02/19/2023 18:39:37,1676849977.0,122210000.0,190783000.0,0.29,-0.0,SELL,35.94,24402.8
02/19/2023 18:39:49,1676849989.0,99028000.0,308126000.0,-0.23,0.38,SELL,67.86,24402.8
02/19/2023 18:39:49,1676849989.0,99028000.0,308126000.0,0.0,0.0,SELL,67.86,24402.8
02/19/2023 18:40:01,1676850001.0,139078000.0,101778000.0,0.29,-2.03,BUY,26.82,24404.6
02/19/2023 18:40:35,1676850035.0,113105000.0,200106000.0,-0.23,0.49,SELL,43.48,24405.2
02/19/2023 18:40:37,1676850037.0,113807000.0,268557000.0,0.01,0.25,SELL,57.62,24405.2
02/19/2023 18:40:46,1676850046.0,152158000.0,293825000.0,0.25,0.09,SELL,48.21,24409.0
02/19/2023 18:40:50,1676850050.0,161763000.0,357791000.0,0.06,0.18,SELL,54.79,24419.9
02/19/2023 18:40:59,1676850059.0,104092000.0,267904000.0,-0.55,-0.34,SELL,61.15,24404.9
02/19/2023 18:41:03,1676850063.0,121933000.0,158271000.0,0.15,-0.69,SELL,22.96,24404.9
02/19/2023 18:41:12,1676850072.0,87631000.0,213650000.0,-0.39,0.26,SELL,58.98,24404.9
02/19/2023 18:41:14,1676850074.0,87571000.0,155394000.0,-0.0,-0.37,SELL,43.65,24404.9
02/19/2023 18:41:17,1676850077.0,95731000.0,233574000.0,0.09,0.33,SELL,59.01,24404.9
02/19/2023 18:41:28,1676850088.0,99524000.0,332853000.0,0.04,0.3,SELL,70.1,24404.9
02/19/2023 18:41:33,1676850093.0,78057000.0,241208000.0,-0.28,-0.38,SELL,67.64,24398.1
02/19/2023 18:41:41,1676850101.0,126472000.0,241791000.0,0.38,0.0,SELL,47.69,24393.5
02/19/2023 18:41:45,1676850105.0,129187000.0,249094000.0,0.02,0.03,SELL,48.14,24393.7
02/19/2023 18:41:54,1676850114.0,120380000.0,270023000.0,-0.07,0.08,SELL,55.42,24394.5
02/19/2023 18:41:58,1676850118.0,34964000.0,280721000.0,-2.44,0.04,SELL,87.54,24390.1
02/19/2023 18:42:07,1676850127.0,126086000.0,170605000.0,0.72,-0.65,SELL,26.09,24383.0
02/19/2023 18:42:10,1676850130.0,127686000.0,112163000.0,0.01,-0.52,BUY,12.16,24383.1
02/19/2023 18:42:22,1676850142.0,125706000.0,252461000.0,-0.02,0.56,SELL,50.21,24381.5
02/19/2023 18:42:37,1676850157.0,165389000.0,218454000.0,0.24,-0.16,SELL,24.29,24375.0
02/19/2023 18:42:44,1676850164.0,65097000.0,229384000.0,-1.54,0.05,SELL,71.62,24376.6
02/19/2023 18:42:49,1676850169.0,132821000.0,200627000.0,0.51,-0.14,SELL,33.8,24376.6
02/19/2023 18:42:56,1676850176.0,218874000.0,170624000.0,0.39,-0.18,BUY,22.04,24375.0
02/19/2023 18:43:02,1676850182.0,204292000.0,169365000.0,-0.07,-0.01,BUY,17.1,24363.4
02/19/2023 18:43:09,1676850189.0,94775000.0,257473000.0,-1.16,0.34,SELL,63.19,24355.1
02/19/2023 18:43:24,1676850204.0,159322000.0,236380000.0,0.41,-0.09,SELL,32.6,24369.9
02/19/2023 18:43:38,1676850218.0,187512000.0,164036000.0,0.15,-0.44,BUY,12.52,24372.2
02/19/2023 18:43:44,1676850224.0,192955000.0,94926000.0,0.03,-0.73,BUY,50.8,24372.2
