symbol,datetime,side,price,amount,usd,epoch,buy_amount,sell_amount
BTC/USD:USD,2022-12-05 16:24:50,buy,17045.1,105.0,1787.07,1670257490.0,1787.07,0.0
BTC/USD:USD,2022-12-05 16:24:50,sell,17045.0,447.0,7607.81,1670257490.0,0.0,7607.81
BTC/USD:USD,2022-12-05 16:24:50,sell,17041.2,112.0,1906.21,1670257490.0,0.0,1906.21
BTC/USD:USD,2022-12-05 16:25:15,sell,17037.4,75.0,1276.48,1670257515.0,0.0,1276.48
BTC/USD:USD,2022-12-05 16:25:18,buy,17038.0,105.0,1787.07,1670257518.0,1787.07,0.0
BTC/USD:USD,2022-12-05 16:25:19,sell,17030.5,200.0,3403.94,1670257519.0,0.0,3403.94
BTC/USD:USD,2022-12-05 16:25:19,sell,17030.4,204.0,3472.02,1670257519.0,0.0,3472.02
BTC/USD:USD,2022-12-05 16:25:19,sell,17030.3,248.0,4220.89,1670257519.0,0.0,4220.89
BTC/USD:USD,2022-12-05 16:25:19,sell,17030.0,66.0,1123.3,1670257519.0,0.0,1123.3
BTC/USD:USD,2022-12-05 16:25:19,sell,17025.0,154.0,2621.03,1670257519.0,0.0,2621.03
BTC/USD:USD,2022-12-05 16:25:19,sell,17023.1,735.0,12509.48,1670257519.0,0.0,12509.48
BTC/USD:USD,2022-12-05 16:25:19,sell,17023.0,1526.0,25972.06,1670257519.0,0.0,25972.06
BTC/USD:USD,2022-12-05 16:25:19,sell,17027.4,183.0,3114.61,1670257519.0,0.0,3114.61
BTC/USD:USD,2022-12-05 16:25:21,sell,17023.0,491.0,8356.67,1670257521.0,0.0,8356.67
BTC/USD:USD,2022-12-05 16:25:21,sell,17023.0,120.0,2042.36,1670257521.0,0.0,2042.36
BTC/USD:USD,2022-12-05 16:25:22,sell,17023.8,131.0,2229.58,1670257522.0,0.0,2229.58
BTC/USD:USD,2022-12-05 16:25:22,sell,17023.8,375.0,6382.39,1670257522.0,0.0,6382.39
BTC/USD:USD,2022-12-05 16:25:25,sell,17023.0,379.0,6450.47,1670257525.0,0.0,6450.47
BTC/USD:USD,2022-12-05 16:25:25,sell,17023.0,86.0,1463.69,1670257525.0,0.0,1463.69
BTC/USD:USD,2022-12-05 16:25:25,sell,17023.0,81.0,1378.6,1670257525.0,0.0,1378.6
BTC/USD:USD,2022-12-05 16:25:25,sell,17023.0,203.0,3455.0,1670257525.0,0.0,3455.0
BTC/USD:USD,2022-12-05 16:25:25,sell,17019.1,100.0,1701.97,1670257525.0,0.0,1701.97
BTC/USD:USD,2022-12-05 16:25:25,sell,17017.0,100.0,1701.97,1670257525.0,0.0,1701.97
BTC/USD:USD,2022-12-05 16:25:25,sell,17013.0,71.0,1208.4,1670257525.0,0.0,1208.4
BTC/USD:USD,2022-12-05 16:25:25,sell,17012.1,158.0,2689.11,1670257525.0,0.0,2689.11
BTC/USD:USD,2022-12-05 16:25:25,sell,17010.2,213.0,3625.2,1670257525.0,0.0,3625.2
BTC/USD:USD,2022-12-05 16:25:25,sell,17010.2,193.0,3284.8,1670257525.0,0.0,3284.8
BTC/USD:USD,2022-12-05 16:25:25,sell,17009.1,463.0,7880.12,1670257525.0,0.0,7880.12
BTC/USD:USD,2022-12-05 16:25:25,sell,17009.1,120.0,2042.36,1670257525.0,0.0,2042.36
BTC/USD:USD,2022-12-05 16:25:25,sell,17009.1,590.0,10041.62,1670257525.0,0.0,10041.62
BTC/USD:USD,2022-12-05 16:25:25,sell,17008.0,546.0,9292.76,1670257525.0,0.0,9292.76
